,Unnamed: 0,average_speed_mph,average_heartrate,moving_time_h,total_elevation_gain,average_speed_kmph,length_km
167,167,3.572,155.4,0.65,14.5,5.74856248,3.736565612
168,168,3.277,142.3,0.49,14.4,5.27380718,2.5841655182000003
169,169,3.29,137.0,0.24,0.0,5.2947286,1.270734864
170,170,3.48,142.3,0.82,16.6,5.6005032,4.592412624
171,171,3.031,131.3,0.81,14.7,4.87790954,3.9511067274000005
172,172,3.447,140.3,0.76,16.5,5.54739498,4.2160201848
173,173,2.162,157.0,1.36,395.8,3.47939308,4.7319745888
174,174,2.128,122.6,0.3,59.2,3.42467552,1.027402656
175,175,2.005,156.3,0.64,82.8,3.2267267,2.065105088
176,176,1.585,121.1,0.13,64.9,2.5508039,0.331604507
177,177,2.893,130.4,0.19,36.2,4.65582062,0.8846059178
178,178,1.991,141.1,1.76,349.1,3.20419594,5.6393848544
179,179,3.2710000000000004,138.7,0.73,10.7,5.264151140000001,3.8428303322000006
180,180,3.196,146.1,0.83,14.6,5.14345064,4.2690640312
181,181,3.254,140.8,0.29,0.0,5.23679236,1.5186697844
182,182,3.258,146.4,0.68,14.6,5.24322972,3.5653962096000007
183,183,3.425,147.6,0.56,14.1,5.511989499999999,3.08671412
184,184,4.308,185.9,0.42,10.1,6.93303672,2.9118754223999996
185,185,2.942,168.5,0.21,0.0,4.734678280000001,0.9942824388000001
186,186,3.204,147.8,0.7,26.1,5.15632536,3.6094277519999998
187,187,3.564,157.3,0.77,26.1,5.73568776,4.4164795752
188,188,2.3680000000000003,121.9,0.25,47.8,3.8109171200000005,0.9527292800000001
189,189,3.484,147.9,1.29,70.7,5.60694056,7.2329533224
